,ID,CommonName,Location
1,,,
2,,,
3,,,
4,,Short-beaked Echidna,Australia
5,,,Australia
6,,,
7,,,
8,,,
9,,,
10,,,
11,,Sir David’s Long-beaked Echidna.,Indonesia
12,,Eastern Long-beaked Echidna,Papua New Guinea
13,,,Papua New Guinea
14,,,
15,,,
16,,,
17,,Western Long-beaked Echidna.,Indonesia
18,,,
19,,,
20,,Platypus.,Australia
21,,,
22,,,
23,,,
24,,,
25,,,
26,,,
27,,Derby’s Woolly Opossum,None given; restricted to Colombia
28,,,None given; restricted to Colombia
29,,,
30,,,
31,,,
32,,,
33,,,
34,,Brown-eared Woolly Opossum,"""Paraguay;"" restricted to Caazapá"
35,,,"""Paraguay;"" restricted to Caazapá"
36,,,
37,,,
38,,,
39,,,
40,,,
41,,Bare-tailed Woolly Opossum,"""America;"" restricted to Surinam (Thomas"
42,,,"""America;"" restricted to Surinam (Thomas"
43,,,
44,,,
45,,,
46,,,
47,,Black-shouldered Opossum,Perú
48,,,
49,,Bushy-tailed Opossum,Perú
50,,,
51,,,
52,,Water Opossum,"""Gujana;"" restricted to Cayenne"
53,,,"""Gujana;"" restricted to Cayenne"
54,,,
55,,,
56,,,
57,,,
58,,White-eared Opossum,Brazil
59,,Big-eared Opossum,Brazil
60,,Guianan White-eared Opossum,Venezuela
61,,Common Opossum,"""America;"" restricted to Surinam (Thomas"
62,,,"""America;"" restricted to Surinam (Thomas"
63,,,
64,,Andean White-eared Opossum,Perú
65,,Virginia Opossum,"""Virginia"
66,,,"""Virginia"
67,,,
68,,,
69,,,
70,,,
71,,Aceramarca Gracile Opossum,Bolivia
72,,Agile Gracile Opossum,Brazil
73,,Agricola’s Gracile Opossum,Brazil
74,,Wood Sprite Gracile Opossum,Venezuela
75,,Emilia’s Gracile Opossum,Brazil
76,,Pygmy Opossum,Argentina
77,,Red-bellied Gracile Opossum,Argentina
78,,Northern Gracile Opossum,Venezuela
79,,Brazilian Gracile Opossum,Brazil
80,,,Brazil
81,,,
82,,,
83,,Kalinowski’s Mouse Opossum,Perú
84,,,
85,,Patagonian Opossum,Argentina
86,,,
87,,Lutrine Opossum,Paraguay
88,,,Paraguay
89,,,
90,,,
91,,Heavy-browed Mouse Opossum,Perú
92,,Rufous Mouse Opossum,"""Peruvian Amazons;"" identiﬁed as Perú"
93,,Mexican Mouse Opossum,México
94,,,México
95,,,
96,,,
97,,Linnaeus’s Mouse Opossum,"""Asia"
98,,Quechuan Mouse Opossum,"""Ocabamba"" identiﬁed as Valle de Occobamba by Ceballos Bendezu (1981)"
99,,Robinson’s Mouse Opossum,Venezuela
100,,,Venezuela
101,,,
102,,,
103,,,
104,,,
105,,,
106,,,
107,,,
108,,Red Mouse Opossum,Perú
109,,Tyleria Mouse Opossum,Venezuela
110,,Guajira Mouse Opossum,Colombia
111,,,
112,,Bishop’s Slender Opossum,"""264 km N (by road) Xavantina (locality is at 12°51'S"
113,,"Narrow-headed Slender Opossum Venezuela, Falcón, ""near La Pastora (11°12'N, 68°37'W), 150 m, 14 km ENE Mirimire.""",
114,,Dorothys’ Slender opossum,Bolivia
115,,Dusky Slender Opossum,Venezuela
116,,,Venezuela
117,,,
118,,,
119,,Handley’s Slender Opossum,Colombia
120,,Tschudi’s Slender Opossum,"""Der mittleren und tiefen Waldregion;"" interpreted by Cabrera (1958:16) as Perú"
121,,Gray Slender Opossum,Brazil
122,,Panama Slender Opossum,Panamá
123,,Junin Slender Opossum,"""Utcuyacu. Between Tarma and Chanchamayo"
124,,Neblina Slender Opossum,Venezuela
125,,White-bellied Slender Opossum,"""Der mittleren und tiefen Waldregion""; restricted by Tate (1933) to Perú"
126,,Delicate Slender Opossum,Guyana
127,,Brazilian Slender Opossum,Brazil
128,,Pinheiro’s Slender Opossum,Brazil
