,ID,Genus,Species
1,10300001,,
2,10300002,,
3,10300003,Tachyglossus,
4,10300004,Tachyglossus,aculeatus
5,10300005,Tachyglossus,aculeatus
6,10300006,Tachyglossus,aculeatus
7,10300007,Tachyglossus,aculeatus
8,10300008,Tachyglossus,aculeatus
9,10300009,Tachyglossus,aculeatus
10,10300010,Zaglossus,
11,10300011,Zaglossus,attenboroughi
12,10300012,Zaglossus,bartoni
13,10300013,Zaglossus,bartoni
14,10300014,Zaglossus,bartoni
15,10300015,Zaglossus,bartoni
16,10300016,Zaglossus,bartoni
17,10300017,Zaglossus,bruijni
18,10300018,,
19,10300019,Ornithorhynchus,
20,10300020,Ornithorhynchus,anatinus
21,10400001,,
22,10400002,,
23,10400003,,
24,10400004,Caluromys,
25,10400005,Caluromys,
26,10400006,Caluromys,
27,10400007,Caluromys,derbianus
28,10400008,Caluromys,derbianus
29,10400009,Caluromys,derbianus
30,10400010,Caluromys,derbianus
31,10400011,Caluromys,derbianus
32,10400012,Caluromys,derbianus
33,10400013,Caluromys,derbianus
34,10400014,Caluromys,lanatus
35,10400015,Caluromys,lanatus
36,10400016,Caluromys,lanatus
37,10400017,Caluromys,lanatus
38,10400018,Caluromys,lanatus
39,10400019,Caluromys,lanatus
40,10400020,Caluromys,lanatus
41,10400021,Caluromys,philander
42,10400022,Caluromys,philander
43,10400023,Caluromys,philander
44,10400024,Caluromys,philander
45,10400025,Caluromys,philander
46,10400026,Caluromysiops,
47,10400027,Caluromysiops,irrupta
48,10400028,Glironia,
49,10400029,Glironia,venusta
50,10400030,,
51,10400031,Chironectes,
52,10400032,Chironectes,minimus
53,10400033,Chironectes,minimus
54,10400034,Chironectes,minimus
55,10400035,Chironectes,minimus
56,10400036,Chironectes,minimus
57,10400037,Didelphis,
58,10400038,Didelphis,albiventris
59,10400039,Didelphis,aurita
60,10400040,Didelphis,imperfecta
61,10400041,Didelphis,marsupialis
62,10400042,Didelphis,marsupialis
63,10400043,Didelphis,marsupialis
64,10400044,Didelphis,pernigra
65,10400045,Didelphis,virginiana
66,10400046,Didelphis,virginiana
67,10400047,Didelphis,virginiana
68,10400048,Didelphis,virginiana
69,10400049,Didelphis,virginiana
70,10400050,Gracilinanus,
71,10400051,Gracilinanus,aceramarcae
72,10400052,Gracilinanus,agilis
73,10400053,Gracilinanus,agricolai
74,10400054,Gracilinanus,dryas
75,10400055,Gracilinanus,emiliae
76,10400056,Gracilinanus,formosus
77,10400057,Gracilinanus,ignitus
78,10400058,Gracilinanus,marica
79,10400059,Gracilinanus,microtarsus
80,10400060,Gracilinanus,microtarsus
81,10400061,Gracilinanus,microtarsus
82,10400062,Hyladelphys,
83,10400063,Hyladelphys,kalinowskii
84,10400064,Lestodelphys,
85,10400065,Lestodelphys,halli
86,10400066,Lutreolina,
87,10400067,Lutreolina,crassicaudata
88,10400068,Lutreolina,crassicaudata
89,10400069,Lutreolina,crassicaudata
90,10400070,Marmosa,
91,10400071,Marmosa,andersoni
92,10400072,Marmosa,lepida
93,10400073,Marmosa,mexicana
94,10400074,Marmosa,mexicana
95,10400075,Marmosa,mexicana
96,10400076,Marmosa,mexicana
97,10400077,Marmosa,murina
98,10400078,Marmosa,quichua
99,10400079,Marmosa,robinsoni
100,10400080,Marmosa,robinsoni
101,10400081,Marmosa,robinsoni
102,10400082,Marmosa,robinsoni
103,10400083,Marmosa,robinsoni
104,10400084,Marmosa,robinsoni
105,10400085,Marmosa,robinsoni
106,10400086,Marmosa,robinsoni
107,10400087,Marmosa,robinsoni
108,10400088,Marmosa,rubra
109,10400089,Marmosa,tyleriana
110,10400090,Marmosa,xerophila
111,10400091,Marmosops,
112,10400092,Marmosops,bishopi
113,10400093,Marmosops,cracens
114,10400094,Marmosops,dorothea
115,10400095,Marmosops,fuscatus
116,10400096,Marmosops,fuscatus
117,10400097,Marmosops,fuscatus
118,10400098,Marmosops,fuscatus
119,10400099,Marmosops,handleyi
120,10400100,Marmosops,impavidus
121,10400101,Marmosops,incanus
122,10400102,Marmosops,invictus
123,10400103,Marmosops,juninensis
124,10400104,Marmosops,neblina
125,10400105,Marmosops,noctivagus
126,10400106,Marmosops,parvidens
127,10400107,Marmosops,paulensis
128,10400108,Marmosops,pinheiroi
1,10400110,,
2,10400111,,
3,10400112,,
4,10400113,,
5,10400114,,
6,10400115,,
7,10400116,,
8,10400117,,
9,10400118,,
10,10400119,,
11,10400120,,
12,10400121,,
13,10400122,,
14,10400123,,
15,10400124,,
16,10400125,,
17,10400126,,
18,10400127,,
19,10400128,,
